2.0402,0.58117,27
2.2231,0.7397,15
2.3202,0.50489,34
2.8376,0.86875,7
2.9212,0.81791,10
3.048,0.85146,8
3.1359,0.54716,30
3.3298,0.7397,15
3.3593,0.44752,40
3.578,0.90438,5
3.6044,0.58117,27
3.6064,0.58117,27
3.7368,0.78568,12
3.7512,0.41295,44
3.7883,0.83451,9
3.9741,0.86875,7
4.0838,0.49484,35
4.1083,0.80163,11
4.1816,0.69641,18
4.294,0.44752,40
4.4161,0.9801,1
4.533,0.77004,13
4.5427,0.85146,8
4.6124,0.69641,18
4.6862,0.5696,28
4.6974,0.65566,21
4.7251,0.9801,1
4.7287,0.21273,77
4.771,0.92274,4
4.8705,0.39668,46
5.0209,0.51514,33
5.0299,0.35161,52
5.1258,0.68255,19
5.2413,0.81791,10
5.3416,0.10526,112
5.38,0.61729,24
5.431,0.68255,19
5.4418,0.50489,34
5.4632,0.88638,6
5.5118,0.90438,5
5.5252,0.45661,39
5.5524,0.51514,33
5.5656,0.92274,4
5.5665,0.55827,29
5.5679,0.9801,1
5.6268,0.36603,50
5.6499,0.23999,71
5.7285,0.66897,20
5.7564,0.75472,14
5.7938,0.72498,16
5.856,0.28758,62
5.8909,0.35161,52
5.8984,0.9801,1
5.9038,0.5696,28
5.9123,0.21704,76
5.9227,0.94148,3
5.9479,0.42133,43
5.9658,0.85146,8
6.0034,0.15422,93
6.0361,0.46588,38
6.0687,0.062419,138
6.072,0.92274,4
6.1728,0.69641,18
6.2228,0.54716,30
6.2426,0.55827,29
6.2567,0.7397,15
6.2726,0.64261,22
6.2961,0.90438,5
6.345,0.1367,99
6.3506,0.77004,13
6.38,0.77004,13
6.38,0.26009,67
6.4113,0.53627,31
6.4208,0.55827,29
6.4586,0.7397,15
6.467,0.80163,11
6.4699,0.9801,1
6.5303,0.28758,62
6.5404,0.5256,32
6.5471,0.45661,39
6.5801,0.54716,30
6.6191,0.41295,44
6.6347,0.033473,169
6.6362,0.92274,4
6.6697,0.11181,109
6.6758,0.61729,24
6.6983,0.78568,12
6.7012,0.46588,38
6.7044,0.59297,26
6.759,0.64261,22
6.8237,0.69641,18
6.824,0.5696,28
6.8371,0.046171,153
6.8478,0.9606,2
6.8478,0.29938,60
6.8503,0.66897,20
6.8631,0.90438,5
6.87,0.13131,101
6.8703,0.66897,20
6.871,0.68255,19
